ID,English,Bodo,Mizo,Category
0450,Focus,फारदों सोङ,Thinlung dah,Daily Use Verbs
0451,Follow me,आनाय फराय,Ka hnuaiah kal rawh,Daily Use Verbs
0452,Happy,गोजौ,Hlim,Feelings
0453,Sad,मोनो,Sum,Feelings
0454,Angry,मोनोनै,Thinlung thiang,Feelings
0455,Tired,मोनोहो,Ngar,Feelings
0456,Hungry,खाबाय नङा,Ei duh,Feelings
0457,Thirsty,नाइ मिन,Tih duh,Feelings
0458,Hot,थाब,Thingtam,Feelings
0459,Cold,फिथाय,Fur,Feelings
0460,Big,गोडां,Lal,Common Adjectives
0461,Small,सेन,Nung,Common Adjectives
0462,Fast,थांदों,Tui zet,Common Adjectives
0463,Slow,फेरसों,Tui hle,Common Adjectives
0464,Easy,सालां,Fiam,Common Adjectives
0465,Difficult,नाङथाइ,Huna,Common Adjectives
0466,Right,गोजौ,Dik,Common Adjectives
0467,Wrong,मोनो,Dik lo,Common Adjectives
0468,Enough,गोजैनाइ,A tawk e,Common Adjectives
0469,More,दांदाया,Zawng,Common Adjectives
0470,Less,थाइ,Hlem,Common Adjectives
0471,Again,फाŋसिबाय,Tung zelin,Time Words
0472,Now,दानै,Nisa,Time Words
0473,Today,दिन्नै,Niin,Time Words
0474,Tomorrow,गाछां,Ningtan,Time Words
0475,Yesterday,गाथां,Ningtawm,Time Words
0476,Every day,दिन बाय,Ni zawng zawng,Time Words
0477,Which exam today,दिन्नै मो परिखा,Niin eng exam nge,Questions
0478,Is,आरो,A ni,Common Words
0479,Are,आरो,An ni,Common Words
0480,Am,आं,Ka ni,Common Words
0481,Was,होनो,A ni ta,Common Words
0482,Were,होनो,An ni ta,Common Words
0483,You,नं,Nang,Common Words
0484,I,आं,Kei,Common Words
0485,We,बे,Kan,Common Words
0486,They,बिफां,Anni,Common Words
0487,He,बि,Ama,Common Words
0488,She,बि,Ani,Common Words
0489,It,बे,Chu,Common Words
0490,This,बे,Hei,Common Words
0491,That,बा,Chu,Common Words
0492,These,बेफोर,Heng-te,Common Words
0493,Those,बाफोर,Chung-te,Common Words
0494,The,बे,Chu,Common Words
0495,A,सै,Pakhat,Common Words
0496,An,सै,Pakhat,Common Words
0497,And,आरो,Leh,Common Words
0498,Or,एबा,Emaw,Common Words
0499,But,नाथाय,Mahse,Common Words
0500,With,जों,Nena,Common Words
0501,From,नायनो,Atanga,Common Words
0502,To,आव,Ah,Common Words
0503,In,आव,Chungah,Common Words
0504,On,आव गुबुन,Chunga,Common Words
0505,At,आव,Ah,Common Words
0506,By,जों,Hmangin,Common Words
0507,For,थाखाय,Tan,Common Words
0508,Of,नि,Ta,Common Words
0509,Will,गोनां,Ang,Common Words
0510,Can,खांनो,Thei,Common Words
0511,Could,खांनो होयो,Thei ang,Common Words
0512,Should,गोनांथि,Tur,Common Words
0513,Would,गोनांथि,Ang,Common Words
0514,May,खांनो,Thei,Common Words
0515,Must,गोनांथि,Ngei tur,Common Words
0516,Have,आरो,Nei,Common Words
0517,Has,आरो,A nei,Common Words
0518,Had,होनो आरो,A nei ta,Common Words
0519,Do,थां,Tih,Common Words
0520,Does,थां,A tih,Common Words
0521,Did,होनो थां,A tih ta,Common Words
0522,Not,नाङा,Lo,Common Words
0523,My,आंनि,Ka,Common Words
0524,Your,नंनि,I,Common Words
0525,His,बिनि,A,Common Words
0526,Her,बिनि,A,Common Words
0527,Its,बेनि,A,Common Words
0528,Our,बेनि,Kan,Common Words
0529,Their,बिफांनि,An,Common Words
0530,Why are you sad,नं माबाव मोनो नं,Engvangin i sum,Feelings
0531,I am happy,आं रांखान्थि आं,Ka hlim,Feelings
0532,You are good,नं गोजौ नं,I tha,Common Phrases
0533,He is teacher,बि जारि,Ama zirtir a ni,Common Phrases
0534,She is student,बि सिखारि,Ani zirlai a ni,Common Phrases
0535,We are learning,बे होनना दङ,Kan zir mek,Common Phrases
0536,They are writing,बिफां लिर दङ,Anni ziak mek,Common Phrases
0537,This is my book,बे आंनि बुक आरो,Hei hi ka lehkhabu a ni,Common Phrases
0538,That is your pen,बा नंनि कलम आरो,Chu chu i dap a ni,Common Phrases
0539,What is your name,नंनि मिं मा,I hming chu eng nge,Questions
0540,How are you,नं जोबोन नं,I dam em,Greetings
0541,I am fine,आं गोजौ,Ka dam,Greetings
0542,Where is the teacher,जारि गान,Zirtir khawi ah nge,Questions
0543,When is the class,सिँ मावनो,Class engtikah nge,Questions
0544,Why are you late,नं माबाव लेट,Engvangin i tling,Questions
0545,How old are you,नं बोसोर जोबोन,I kum engzat nge,Questions
0546,What time is it,मा बेला आरो,Engtikah nge,Questions
0547,Can you help me,नं खांनो आङा मद,Min pui thei ang em,Questions
0548,I need a pen,आंथि सै कलम गोनांथि,Dap pakhat ka mamawh,Common Phrases
0549,Please give me water,अननानै आङा दै दों,Tui min pe rawh,Common Phrases
0550,May I come in,आं खांनो फार,Ka luh thei em,Common Phrases
0551,May I go out,आं खांनो लानो,Ka chhuak thei em,Common Phrases
0552,I don't understand,आं गोजाखै,Ka hrethiam lo,Common Phrases
0553,Can you repeat,नं खांनो बार हुनाय,Nawn lehah sawi thei ang em,Common Phrases
0554,I am sorry,आं गोजों,Ka ngaidam rawh,Common Phrases
0555,Thank you very much,बेयै गोजौ मोजां,Ka lawm e hle,Common Phrases
0556,You are welcome,नं स्वागत आरो,I lawmawm e,Common Phrases
0557,See you tomorrow,गाछां नायगोनां,Tukleha kan inhmu ang,Common Phrases
0558,Good night,गोजौ राति,Zan rem,Greetings
0559,Have a nice day,गोजौ दिन होयो,Ni tha takin hman rawh,Greetings
0560,What are you doing,नं मा थां दङ,Eng i tih mek,Questions
0561,Where are you going,नं गान थां दङ,Khawi ah nang i kal mek,Questions
0562,I am going home,आं नोखोर थां दङ,Ka in ka kal mek,Common Phrases
0563,I am studying,आं होनना दङ,Ka zir mek,Common Phrases
0564,She is reading,बि फराय दङ,Ani chhiar mek,Common Phrases
0565,He is sleeping,बि खोन दङ,Ama muhil mek,Common Phrases
0566,We are playing,बे खेलाय दङ,Kan inkhel mek,Common Phrases
0567,They are eating,बिफां खाबाय दङ,Anni ei mek,Common Phrases
0568,Do you have a book,नं बुक आरो,Lehkhabu i nei em,Questions
0569,I have a pen,आं कलम आरो,Dap ka nei,Common Phrases
0570,I don't have homework,आं होमवर्क नाङा,Homework ka nei lo,Common Phrases
0571,This is correct,बे गोजौ आरो,Hei hi a dik,Common Phrases
0572,That is wrong,बा मोनो आरो,Chu chu a dik lo,Common Phrases
0573,I like this,आं बे मोजां,Hei hi ka duh,Common Phrases
0574,I don't like that,आं बा मोजां नाङा,Chu chu ka duh lo,Common Phrases
0575,It is easy,बे सालां आरो,A awlsam,Common Phrases
0576,It is difficult,बे नाङथाइ आरो,A harsa,Common Phrases
0577,I am ready,आं तैयार आरो,Ka inpeih tawh,Common Phrases
0578,Are you ready,नं तैयार आरो,I inpeih tawh em,Questions
0579,Let us start,जिउनां जागाय,Kan tan dawn nia,Common Phrases
0580,Let us go,जिउनां थां,Kan kal dawn nia,Common Phrases
0476,Every day,दिन बाय,Ni zawng zawng,Time Words
0581,Tarun,तारुन,Tarun,Names
0582,the,बे,chu,Common Words - Articles & Pronouns
0583,a,सै,pakhat,Common Words - Articles & Pronouns
0584,an,सै,pakhat,Common Words - Articles & Pronouns
0585,I,आं,kei,Common Words - Articles & Pronouns
0586,you,नं,nang,Common Words - Articles & Pronouns
0587,he,बि,ama,Common Words - Articles & Pronouns
0588,she,बि,ani,Common Words - Articles & Pronouns
0589,it,बे,chu,Common Words - Articles & Pronouns
0590,we,बे,kan,Common Words - Articles & Pronouns
0591,they,बिफां,anni,Common Words - Articles & Pronouns
0592,to,आव,ah,Common Words - Prepositions
0593,in,आव,chungah,Common Words - Prepositions
0594,on,आव,chunga,Common Words - Prepositions
0595,at,आव,ah,Common Words - Prepositions
0596,by,जों,hmangin,Common Words - Prepositions
0597,from,नायनो,atanga,Common Words - Prepositions
0598,with,जों,nena,Common Words - Prepositions
0599,about,मा,eng,Common Words - Prepositions
0600,as,जें,ang,Common Words - Prepositions
0601,into,आव गोजौथिनो,chung ah,Common Words - Prepositions
0602,between,दो आव गुबुनथाव,inkarah,Common Words - Prepositions
0603,among,गुबुनसोनो,khaw chunga,Common Words - Prepositions
0604,and,आरो,leh,Common Words - Conjunctions
0605,or,बा,emaw,Common Words - Conjunctions
0606,but,दिनाय,mahse,Common Words - Conjunctions
0607,because,थांखो,chuvang,Common Words - Conjunctions
0608,if,बा,chu chu,Common Words - Conjunctions
0609,so,थांखो,chuvang,Common Words - Conjunctions
0610,be,होयो,ni,Common Words - Verbs
0611,have,आरो,nei,Common Words - Verbs
0612,do,थां,tih,Common Words - Verbs
0613,say,फार,sawi,Common Words - Verbs
0614,get,लाबो,lo,Common Words - Verbs
0615,make,सिर्गुन,siam,Common Words - Verbs
0616,go,होयो,kal,Common Words - Verbs
0617,know,मोजान,hre,Common Words - Verbs
0618,take,खाय,lo la,Common Words - Verbs
0619,see,नायदोन,hmu,Common Words - Verbs
0620,come,लाबो,lo,Common Words - Verbs
0621,think,मोनो होयो,ngaihtuah,Common Words - Verbs
0622,use,बाहाय,hman,Common Words - Verbs
0623,find,मुंनो,hmuh,Common Words - Verbs
0624,give,दों,pe,Common Words - Verbs
0625,tell,फार,sawi,Common Words - Verbs
0626,work,गोब थ,thawk,Common Words - Verbs
0627,call,फारदों,ko,Common Words - Verbs
0628,ask,जेबो,zawt,Common Words - Verbs
0629,need,गोनांथि,mamawh,Common Words - Verbs
0630,feel,मोनो दङ,lung,Common Words - Verbs
0631,try,नायदोनाय,bei,Common Words - Verbs
0632,leave,होयो,kal,Common Words - Verbs
0633,put,राखा,siam,Common Words - Verbs
0634,mean,मानथाय दङ,awmzia,Common Words - Verbs
0635,keep,राखा,dah,Common Words - Verbs
0636,let,हायो,thei,Common Words - Verbs
0637,begin,होनना,tan,Common Words - Verbs
0638,seem,नायदोन दङ,ngaithla,Common Words - Verbs
0639,help,मदद थ,tihdam,Common Words - Verbs
0640,talk,फोथाय,sawi,Common Words - Verbs
0641,good,गोजौ,tha,Common Words - Adjectives
0642,new,गोनां आव,tun,Common Words - Adjectives
0643,first,गिबि,hmasa,Common Words - Adjectives
0644,last,बो सोमोन्दो,tak,Common Words - Adjectives
0645,long,जौगा,sei,Common Words - Adjectives
0646,great,गोजौ लाफा,tha hle,Common Words - Adjectives
0647,little,गिदिर,te,Common Words - Adjectives
0648,own,नायनि,i,Common Words - Adjectives
0649,other,बा गुबुन,dang,Common Words - Adjectives
0650,old,बो सोर,ni tang,Common Words - Adjectives
0651,right,गोजौ,dik,Common Words - Adjectives
0652,big,गेदेम,lian,Common Words - Adjectives
0653,high,मुंथाइ,sang,Common Words - Adjectives
0654,different,बे दिनाय,se cia,Common Words - Adjectives
0655,small,गिदिर,te,Common Words - Adjectives
0656,large,गेदेम,lian,Common Words - Adjectives
0657,next,बो होयो,hnua,Common Words - Adjectives
0658,early,गिबि बेला,zing tlâm,Common Words - Adjectives
0659,young,गो गोसा,nuai,Common Words - Adjectives
0660,important,गोनां लै,pawimawh,Common Words - Adjectives
0661,few,थाइ,hlem,Common Words - Adjectives
0662,public,गुबुन सोनो,chhiah,Common Words - Adjectives
0663,bad,गोरलाव,tha lo,Common Words - Adjectives
0664,same,बे दिनाय नां,dik leiah,Common Words - Adjectives
0665,able,खांनो,thei,Common Words - Adjectives
0666,what,मा,eng,Common Words - Questions
0667,where,गान,khawi,Common Words - Questions
0668,when,मावनो,engtin,Common Words - Questions
0669,who,सोर,tu,Common Words - Questions
0670,why,माबाव,engvangin,Common Words - Questions
0671,how,जोबोन,engtin,Common Words - Questions
0672,which,मो,eng nge,Common Words - Questions
0673,not,नाङा,lo,Common Words - Negation
0674,no,नाङ,aih lo,Common Words - Negation
0675,time,बेला,hun,Common Words - Other
0676,year,बोसोर,kum,Common Words - Other
0677,people,मानो,mi,Common Words - Other
0678,way,लाम,kawng,Common Words - Other
0679,day,सान,ni,Common Words - Other
0680,thing,गोब,thil,Common Words - Other
0681,man,मिसो,pa,Common Words - Other
0682,world,जाथि,ram,Common Words - Other
0683,life,जिबान,nunphung,Common Words - Other
0684,hand,खुन्था,kut,Common Words - Other
0685,part,गोबाय,kawng,Common Words - Other
0686,place,जायगा,hmun,Common Words - Other
0687,case,गोब,thil,Common Words - Other
0688,week,सप्ताह,kar,Common Words - Other
0689,number,नम्बर,zat,Common Words - Other
0690,problem,लाङाय,huna,Common Words - Other
0691,fact,सच,dik,Common Words - Other
0692,group,गुसुथि,group,Common Words - Other
0693,idea,मोनो,ngaihtuahna,Common Words - Other
0694,book,किताब,lehkhabu,School - Objects
0695,pen,कलम,pen,School - Objects
0696,pencil,खुरांथिनाय,pencil,School - Objects
0697,notebook,फोरमा,lehkhabu,School - Objects
0698,desk,तेबुल,tawltlang,School - Objects
0699,chair,फुंसा,tumbawh,School - Objects
0700,blackboard,ब्लैकबोर्ड,blackboard,School - Objects
0701,whiteboard,श्वेत बोर्ड,white board,School - Objects
